example_id                                                      | status | run_time        |
./spec/bali/components/link_spec.rb[1:5:1]                      | passed | 0.00325 seconds |
./spec/bali/components/link_spec.rb[1:6:1]                      | passed | 0.00303 seconds |
./spec/bali/components/link_spec.rb[1:7:1]                      | passed | 0.00336 seconds |
./spec/bali/components/link_spec.rb[1:7:2]                      | passed | 0.0035 seconds  |
./spec/bali/components/link_spec.rb[1:8]                        | passed | 0.0027 seconds  |
./spec/bali/components/link_spec.rb[1:9:1:1]                    | passed | 0.003 seconds   |
./spec/bali/components/link_spec.rb[1:9:2:1]                    | passed | 0.00368 seconds |
./spec/bali/components/loader_spec.rb[1:1]                      | passed | 0.00432 seconds |
./spec/bali/components/loader_spec.rb[1:2]                      | passed | 0.0029 seconds  |
./spec/bali/components/modal_spec.rb[1:1]                       | passed | 0.0028 seconds  |
./spec/bali/components/modal_spec.rb[1:2]                       | passed | 0.00321 seconds |
./spec/bali/components/modal_spec.rb[1:3]                       | passed | 0.00269 seconds |
./spec/bali/components/modal_spec.rb[1:4]                       | passed | 0.00266 seconds |
./spec/bali/components/navbar_spec.rb[1:1:1]                    | passed | 0.01108 seconds |
./spec/bali/components/navbar_spec.rb[1:2:1]                    | passed | 0.00433 seconds |
./spec/bali/components/navbar_spec.rb[1:3:1]                    | passed | 0.00365 seconds |
./spec/bali/components/navbar_spec.rb[1:4:1]                    | passed | 0.00365 seconds |
./spec/bali/components/navbar_spec.rb[1:5:1]                    | passed | 0.00573 seconds |
./spec/bali/components/notification_spec.rb[1:1:1]              | passed | 0.00724 seconds |
./spec/bali/components/notification_spec.rb[1:2:1]              | passed | 0.00436 seconds |
./spec/bali/components/notification_spec.rb[1:3:1]              | passed | 0.00445 seconds |
./spec/bali/components/notification_spec.rb[1:4:1]              | passed | 0.0041 seconds  |
./spec/bali/components/notification_spec.rb[1:5:1]              | passed | 0.00399 seconds |
./spec/bali/components/notification_spec.rb[1:6:1]              | passed | 0.00404 seconds |
./spec/bali/components/notification_spec.rb[1:7:1]              | passed | 0.00438 seconds |
./spec/bali/components/page_header_spec.rb[1:1:1:1]             | passed | 0.00544 seconds |
./spec/bali/components/page_header_spec.rb[1:1:2:1:1]           | passed | 0.00403 seconds |
./spec/bali/components/page_header_spec.rb[1:1:2:2:1]           | passed | 0.00462 seconds |
./spec/bali/components/search_input_spec.rb[1:1]                | passed | 0.00362 seconds |
./spec/bali/components/search_input_spec.rb[1:2:1]              | passed | 0.00312 seconds |
./spec/bali/components/side_menu_spec.rb[1:1]                   | passed | 0.0094 seconds  |
./spec/bali/components/side_menu_spec.rb[1:2]                   | passed | 0.00457 seconds |
./spec/bali/components/side_menu_spec.rb[1:3:1]                 | passed | 0.00411 seconds |
./spec/bali/components/side_menu_spec.rb[1:4]                   | passed | 0.02241 seconds |
./spec/bali/components/side_menu_spec.rb[1:5]                   | passed | 0.00436 seconds |
./spec/bali/components/sortable_list_spec.rb[1:1]               | passed | 0.0068 seconds  |
./spec/bali/components/sortable_list_spec.rb[1:2]               | passed | 0.00389 seconds |
./spec/bali/components/sortable_list_spec.rb[1:3]               | passed | 0.00849 seconds |
./spec/bali/components/sortable_list_spec.rb[1:4]               | passed | 0.00786 seconds |
./spec/bali/components/stepper_spec.rb[1:1]                     | passed | 0.00962 seconds |
./spec/bali/components/stepper_spec.rb[1:2]                     | passed | 0.00455 seconds |
./spec/bali/components/stepper_spec.rb[1:3]                     | passed | 0.00479 seconds |
./spec/bali/components/table_spec.rb[1:1]                       | passed | 0.00844 seconds |
./spec/bali/components/table_spec.rb[1:2]                       | passed | 0.00396 seconds |
./spec/bali/components/table_spec.rb[1:3]                       | passed | 0.00499 seconds |
./spec/bali/components/table_spec.rb[1:4]                       | passed | 0.00362 seconds |
./spec/bali/components/table_spec.rb[1:5]                       | passed | 0.01382 seconds |
./spec/bali/components/table_spec.rb[1:6]                       | passed | 0.00329 seconds |
./spec/bali/components/table_spec.rb[1:7:1]                     | passed | 0.00294 seconds |
./spec/bali/components/table_spec.rb[1:8:1]                     | passed | 0.00305 seconds |
./spec/bali/components/tabs_spec.rb[1:1]                        | passed | 0.01144 seconds |
./spec/bali/components/tabs_spec.rb[1:2]                        | passed | 0.00274 seconds |
./spec/bali/components/tabs_spec.rb[1:3]                        | passed | 0.00317 seconds |
./spec/bali/components/tabs_spec.rb[1:4:1]                      | passed | 0.00299 seconds |
./spec/bali/components/tree_view_spec.rb[1:1]                   | passed | 0.00911 seconds |
./spec/bali/components/tree_view_spec.rb[1:2]                   | passed | 0.0037 seconds  |
./spec/bali/filter_form_spec.rb[1:1:1]                          | passed | 0.05465 seconds |
./spec/bali/filter_form_spec.rb[1:2:1]                          | passed | 0.02371 seconds |
./spec/bali/filter_form_spec.rb[1:3:1]                          | passed | 0.02374 seconds |
./spec/bali/filter_form_spec.rb[1:4:1]                          | passed | 0.02358 seconds |
./spec/bali/filter_form_spec.rb[1:5:1]                          | passed | 0.02558 seconds |
./spec/bali/filter_form_spec.rb[1:5:2]                          | passed | 0.02321 seconds |
./spec/bali/filter_form_spec.rb[1:5:3]                          | passed | 0.02317 seconds |
./spec/bali/filter_form_spec.rb[1:6:1]                          | passed | 0.02312 seconds |
./spec/bali/filter_form_spec.rb[1:7:1]                          | passed | 0.03068 seconds |
./spec/bali/filter_form_spec.rb[1:7:2]                          | passed | 0.02774 seconds |
./spec/bali/form_builder/boolean_fields_spec.rb[1:1:1]          | passed | 0.0044 seconds  |
./spec/bali/form_builder/boolean_fields_spec.rb[1:1:2]          | passed | 0.00251 seconds |
./spec/bali/form_builder/boolean_fields_spec.rb[1:1:3]          | passed | 0.0027 seconds  |
./spec/bali/form_builder/boolean_fields_spec.rb[1:2:1]          | passed | 0.00234 seconds |
./spec/bali/form_builder/boolean_fields_spec.rb[1:2:2]          | passed | 0.00244 seconds |
./spec/bali/form_builder/currency_fields_spec.rb[1:1:1]         | passed | 0.00302 seconds |
./spec/bali/form_builder/currency_fields_spec.rb[1:1:2]         | passed | 0.00323 seconds |
./spec/bali/form_builder/currency_fields_spec.rb[1:1:3]         | passed | 0.00294 seconds |
./spec/bali/form_builder/currency_fields_spec.rb[1:1:4]         | passed | 0.00316 seconds |
./spec/bali/form_builder/date_fields_spec.rb[1:1:1]             | passed | 0.0025 seconds  |
./spec/bali/form_builder/date_fields_spec.rb[1:1:2]             | passed | 0.00262 seconds |
./spec/bali/form_builder/date_fields_spec.rb[1:1:3]             | passed | 0.00281 seconds |
./spec/bali/form_builder/date_fields_spec.rb[1:1:4]             | passed | 0.00258 seconds |
./spec/bali/form_builder/date_fields_spec.rb[1:1:5]             | passed | 0.00234 seconds |
./spec/bali/form_builder/datetime_fields_spec.rb[1:1:1]         | passed | 0.0026 seconds  |
./spec/bali/form_builder/datetime_fields_spec.rb[1:1:2]         | passed | 0.00246 seconds |
./spec/bali/form_builder/datetime_fields_spec.rb[1:1:3]         | passed | 0.00243 seconds |
./spec/bali/form_builder/datetime_fields_spec.rb[1:1:4]         | passed | 0.00297 seconds |
./spec/bali/form_builder/datetime_fields_spec.rb[1:1:5]         | passed | 0.00335 seconds |
./spec/bali/form_builder/datetime_fields_spec.rb[1:1:6]         | passed | 0.00266 seconds |
./spec/bali/form_builder/datetime_fields_spec.rb[1:2:1]         | passed | 0.00233 seconds |
./spec/bali/form_builder/datetime_fields_spec.rb[1:2:2]         | passed | 0.00213 seconds |
./spec/bali/form_builder/datetime_fields_spec.rb[1:2:3]         | passed | 0.002 seconds   |
./spec/bali/form_builder/datetime_fields_spec.rb[1:2:4]         | passed | 0.00213 seconds |
./spec/bali/form_builder/email_fields_spec.rb[1:1:1]            | passed | 0.00364 seconds |
./spec/bali/form_builder/email_fields_spec.rb[1:1:2]            | passed | 0.00256 seconds |
./spec/bali/form_builder/email_fields_spec.rb[1:1:3]            | passed | 0.00238 seconds |
./spec/bali/form_builder/email_fields_spec.rb[1:2:1]            | passed | 0.00204 seconds |
./spec/bali/form_builder/email_fields_spec.rb[1:2:2]            | passed | 0.00206 seconds |
./spec/bali/form_builder/file_fields_spec.rb[1:1:1]             | passed | 0.0025 seconds  |
./spec/bali/form_builder/file_fields_spec.rb[1:1:2]             | passed | 0.00481 seconds |
./spec/bali/form_builder/file_fields_spec.rb[1:1:3]             | passed | 0.00785 seconds |
./spec/bali/form_builder/file_fields_spec.rb[1:1:4]             | passed | 0.00866 seconds |
./spec/bali/form_builder/file_fields_spec.rb[1:2:1]             | passed | 0.00664 seconds |
./spec/bali/form_builder/number_fields_spec.rb[1:1:1]           | passed | 0.008 seconds   |
./spec/bali/form_builder/number_fields_spec.rb[1:1:2]           | passed | 0.00816 seconds |
./spec/bali/form_builder/number_fields_spec.rb[1:1:3]           | passed | 0.00908 seconds |
./spec/bali/form_builder/number_fields_spec.rb[1:2:1]           | passed | 0.00637 seconds |
./spec/bali/form_builder/number_fields_spec.rb[1:2:2]           | passed | 0.00486 seconds |
./spec/bali/form_builder/password_fields_spec.rb[1:1:1]         | passed | 0.00836 seconds |
./spec/bali/form_builder/password_fields_spec.rb[1:1:2]         | passed | 0.00394 seconds |
./spec/bali/form_builder/password_fields_spec.rb[1:1:3]         | passed | 0.00405 seconds |
./spec/bali/form_builder/password_fields_spec.rb[1:2:1]         | passed | 0.00364 seconds |
./spec/bali/form_builder/password_fields_spec.rb[1:2:2]         | passed | 0.00317 seconds |
./spec/bali/form_builder/percentage_fields_spec.rb[1:1:1]       | passed | 0.00422 seconds |
./spec/bali/form_builder/percentage_fields_spec.rb[1:1:2]       | passed | 0.00481 seconds |
./spec/bali/form_builder/percentage_fields_spec.rb[1:1:3]       | passed | 0.00618 seconds |
./spec/bali/form_builder/percentage_fields_spec.rb[1:1:4]       | passed | 0.00814 seconds |
./spec/bali/form_builder/radio_fields_spec.rb[1:1:1]            | passed | 0.06261 seconds |
./spec/bali/form_builder/radio_fields_spec.rb[1:1:2]            | passed | 0.00506 seconds |
./spec/bali/form_builder/search_fields_spec.rb[1:1:1]           | passed | 0.00332 seconds |
./spec/bali/form_builder/search_fields_spec.rb[1:1:2]           | passed | 0.00309 seconds |
